record_number,sample_name,Family,Sex,pedigree,Stage,body part,ploidy,Stage_original
2,1_fem_F2_adult_Body,1,fem,F2,adult,Body,2.77,Daughter
3,1_fem_F2_Larvae_Body,1,fem,F2,Larvae,Body,2.11,Larvae
4,1_fem_F2_Larvae_Body,1,fem,F2,Larvae,Body,2.27,Larvae
5,1_fem_F1_adult_Body,1,fem,F1,adult,Body,2.67,Mom
6,1_fem_F1_adult_Body,1,fem,F1,adult,Body,2.22,Mom
31,1_fem_F1_adult_Ovary,1,fem,F1,adult,Ovary,3.05,Mom
44,1_male_F2_adult_Body,1,male,F2,adult,Body,1.45,Son
7,2_fem_F2_nymph_Body,2,fem,F2,Immature,Body,2.4,Immature
8,2_fem_F1_adult_Body,2,fem,F1,adult,Body,2.45,Mom
28,2_fem_F1_adult_Legs,2,fem,F1,adult,Legs,2.29,Mom
45,2_male_F2_Larvae_Body,2,male,F2,Larvae,Body,2.23,Larvae
46,2_male_F2_adult_Body,2,male,F2,adult,Body,2.08,Mature
9,3_fem_F2_Deuteronymph_Body,3,fem,F2,Deuteronymph,Body,2.83,Deuteronymph
10,3_fem_F2_nymph_Body,3,fem,F2,Immature,Body,2.44,Immature
11,3_fem_F1_adult_Body,3,fem,F1,adult,Body,2.47,Mom
12,3_fem_F2_Protonymph_Body,3,fem,F2,Protonymph,Body,2.7,Protonymph
32,3_fem_F1_adult_Ovary,3,fem,F1,adult,Ovary,3.15,Mom
33,3_fem_F1_adult_Ovary,3,fem,F1,adult,Ovary,2.82,Mom
47,3_male_F2_adult_Body,3,male,F2,adult,Body,0.35,Mature
48,3_male_F2_adult_Body,3,male,F2,adult,Body,1.16,Mature
65,3_male_F2_adult_Legs,3,male,F2,adult,Legs,2.42,Mature
67,3_male_F2_adult_Posterior,3,male,F2,adult,Posterior,2.42,Mature
68,3_male_F2_adult_Testes,3,male,F2,adult,Testes,1.7,Mature
13,4_fem_F2_adult_Body,4,fem,F2,adult,Body,2.1,Daughter
14,4_fem_F2_nymph_Body,4,fem,F2,Immature,Body,2.5,Immature
34,4_fem_F2_Deuteronymph_Ovary,4,fem,F2,Deuteronymph,Ovary,3.11,Deuteronymph
49,4_male_F2_adult_Body,4,male,F2,adult,Body,2.44,Mature
50,4_male_F2_adult_Body,4,male,F2,adult,Body,1.89,Mature
15,5_fem_F2_adult_Body,5,fem,F2,adult,Body,2.13,Daughter
16,5_fem_F2_Deuteronymph_Body,5,fem,F2,Deuteronymph,Body,2.42,Deuteronymph
17,5_fem_F2_nymph_Body,5,fem,F2,Immature,Body,2.43,Immature
51,5_male_F2_adult_Body,5,male,F2,adult,Body,2.75,Mature
52,5_male_F2_adult_Body,5,male,F2,adult,Body,1.28,Mature
53,5_male_F2_adult_Body,5,male,F2,adult,Body,1.28,Mature
69,5_male_F2_adult_Testes,5,male,F2,adult,Testes,1.6,Mature
29,6_fem_F2_nymph_Legs,6,fem,F2,Immature,Legs,2.11,Immature
35,6_fem_F2_Deuteronymph_Ovary,6,fem,F2,Deuteronymph,Ovary,2.25,Deuteronymph
70,6_male_F2_Deuteronymph_Testes,6,male,F2,Deuteronymph,Testes,1.5,Deuteronymph
18,10_fem_F2_Deuteronymph_Body,10,fem,F2,Deuteronymph,Body,2.46,Deuteronymph
19,10_fem_F1_adult_Body,10,fem,F1,adult,Body,1.46,Mom
20,11_fem_F2_Deuteronymph_Body,11,fem,F2,Deuteronymph,Body,2.68,Deuteronymph
36,11_fem_F1_adult_Ovary,11,fem,F1,adult,Ovary,3.16,Mom
37,11_fem_F1_adult_Ovary,11,fem,F1,adult,Ovary,3.01,Mom
54,11_male_F2_Deuteronymph_Body,11,male,F2,Deuteronymph,Body,1.32,Deuteronymph
55,20_male_F2_Protonymph_Body,20,male,F2,Protonymph,Body,1.16,Protonymph
64,20_male_F2_Protonymph_Hemolymph,20,male,F2,Protonymph,Hemolymph,2.43,Protonymph
56,21_male_F2_Larvae_Body,21,male,F2,Larvae,Body,1.12,Larvae
71,21_male_F2_Larvae_Testes,21,male,F2,Larvae,Testes,1.13,Larvae
57,22_male_F2_Larvae_Body,22,male,F2,Larvae,Body,1.2,Larvae
58,22_male_F2_Larvae_Body,22,male,F2,Larvae,Body,1.3,Larvae
72,22_male_F2_Protonymph_Testes,22,male,F2,Protonymph,Testes,1.3,Protonymph
73,22_male_F2_Protonymph_Testes,22,male,F2,Protonymph,Testes,1.13,Protonymph
59,23_male_F2_Protonymph_Body,23,male,F2,Protonymph,Body,1,Protonymph
60,23_male_F2_Protonymph_Body,23,male,F2,Protonymph,Body,1,Protonymph
38,25_fem_F1_adult_Ovary,25,fem,F1,adult,Ovary,2.49,Mom
66,25_male_F2_Larvae_Legs,25,male,F2,Larvae,Legs,1.11,Larvae
39,26_fem_F1_adult_Ovary,26,fem,F1,adult,Ovary,2.82,Mom
61,26_male_F1_adult_Body,26,male,F1,adult,Body,1.15,Mom
21,27_fem_F2_Larvae_Body,27,fem,F2,Larvae,Body,2.14,Larvae
22,27_fem_F2_Larvae_Body,27,fem,F2,Larvae,Body,2.25,Larvae
40,27_fem_F2_Larvae_Ovary,27,fem,F2,Larvae,Ovary,2.11,Larvae
41,27_fem_F2_Larvae_Ovary,27,fem,F2,Larvae,Ovary,1.89,Larvae
42,27_fem_F2_Larvae_Ovary,27,fem,F2,Larvae,Ovary,2.12,Larvae
62,27_male_F2_Protonymph_Body,27,male,F2,Protonymph,Body,1.11,Protonymph
74,27_male_F2_Protonymph_Testes,27,male,F2,Protonymph,Testes,1.22,Protonymph
75,27_male_F2_Protonymph_Testes,27,male,F2,Protonymph,Testes,1.18,Protonymph
43,31_fem_F1_adult_Ovary,31,fem,F1,adult,Ovary,2.7,Mom
63,31_male_F2_Protonymph_Body,31,male,F2,Protonymph,Body,1.15,Protonymph
1,NA_fem_NA_adult_Anterior,NA,fem,NA,adult,Anterior,3.04,Mature
23,NA_fem_F1_adult_Body,NA,fem,F1,adult,Body,2.25,Mom
24,NA_fem_NA_adult_Body,NA,fem,NA,adult,Body,2.58,Mature
25,NA_fem_NA_adult_Body,NA,fem,NA,adult,Body,2.15,Mature
26,NA_fem_NA_adult_Body,NA,fem,NA,adult,Body,2.85,Mature
27,NA_fem_F1_adult_Body,NA,fem,F1,adult,Body,2.25,Mom
30,NA_fem_NA_adult_Legs,NA,fem,NA,adult,Legs,2.8,Mature
